sep=,
name,price,Clean_Name,Cleaned_Price,Cleaned_Reviews
"Lenovo Ideapad Slim 3 16IRH10 Intel Core I5-13420H 16GB 512GB SSD 16"" Wuxga (1920X1200) IPS Panel Freedos Taşınabilir Dizüstü Bilgisayar 83K20073TR",20999.84,"Lenovo Ideapad Slim 3 16IRH10 Intel Core I5-13420H 16GB 512GB SSD 16"" Wuxga (1920X1200) IPS Panel Freedos Taşınabilir Dizüstü Bilgisayar 83K20073TR",20999.84,
"Lenovo Ideapad Slim 3 Intel Core I7 13620H 16GB 512GB SSD 16"" Wuxga IPS Fdos Taşınabilir Bilgisayar 83K2001WTR",25499.0,"Lenovo Ideapad Slim 3 Intel Core I7 13620H 16GB 512GB SSD 16"" Wuxga IPS Fdos Taşınabilir Bilgisayar 83K2001WTR",25499.0,
"Game Garaj Slayer R9T-5060 C1 Amd Ryzen 9 8945HX 32GB Ram 1tb SSD RTX5060 16"" 300Hz Qhd+ Freedos Gaming Laptop",65399.0,"Game Garaj Slayer R9T-5060 C1 Amd Ryzen 9 8945HX 32GB Ram 1tb SSD RTX5060 16"" 300Hz Qhd+ Freedos Gaming Laptop",65399.0,
"Erazer Deputy 15 P1 MD62764 Intel Core 5 210H 16GB 1TB SSD RTX5060 Freedos 15.6"" 144Hz Fhd IPS Taşınabilir Bilgisayar",46999.0,"Erazer Deputy 15 P1 MD62764 Intel Core 5 210H 16GB 1TB SSD RTX5060 Freedos 15.6"" 144Hz Fhd IPS Taşınabilir Bilgisayar",46999.0,
"Lenovo Ideapad Slim 3 16IRH10 Intel Core I7 13620H 16GB 1tb SSD Freedos 16"" Fhd Taşınabilir Bilgisayar 83K2001VTR",27499.0,"Lenovo Ideapad Slim 3 16IRH10 Intel Core I7 13620H 16GB 1tb SSD Freedos 16"" Fhd Taşınabilir Bilgisayar 83K2001VTR",27499.0,
"Game Garaj Slayer X7T-5070 C2 Intel Core I7 14650HX 32GB Ram 1tb SSD RTX5070 16"" Qhd+ 180Hz IPS Freedos Oyuncu Laptop",67199.0,"Game Garaj Slayer X7T-5070 C2 Intel Core I7 14650HX 32GB Ram 1tb SSD RTX5070 16"" Qhd+ 180Hz IPS Freedos Oyuncu Laptop",67199.0,
"Lenovo Loq 15IRX10 Intel Core I5 13450HX 24GB 512GB SSD RTX5060 Freedos 15.6"" Fhd 83JE00ENTR",51999.0,"Lenovo Loq 15IRX10 Intel Core I5 13450HX 24GB 512GB SSD RTX5060 Freedos 15.6"" Fhd 83JE00ENTR",51999.0,
"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gece Yarısı MW123TU/A",43999.0,"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gece Yarısı MW123TU/A",43999.0,
"Asus Vivobook Go 15 E1504FA-BQ1741 Amd Ryzen 5 7520U 8 GB 512 GB SSD Freedos 15.6"" 60Hz Fhd Taşınabilir Bilgisayar",14756.65,"Asus Vivobook Go 15 E1504FA-BQ1741 Amd Ryzen 5 7520U 8 GB 512 GB SSD Freedos 15.6"" 60Hz Fhd Taşınabilir Bilgisayar",14756.65,
"Game Garaj Slayer X5T-5050 C2 Intel Core I5 13500HX 32GB Ram 1tb SSD RTX5050 16"" Wuxga 165Hz IPS Freedos Oyuncu Laptop",48899.0,"Game Garaj Slayer X5T-5050 C2 Intel Core I5 13500HX 32GB Ram 1tb SSD RTX5050 16"" Wuxga 165Hz IPS Freedos Oyuncu Laptop",48899.0,
